2023-12-06 14:34:10,547 - DEBUG | IMPORTANCE: Low | This is a debug message (NGRFunctions.py: Line Number 101)
2023-12-06 14:34:10,547 - INFO | IMPORTANCE: Medium | This is an info message (NGRFunctions.py: Line Number 102)
2023-12-06 14:34:10,548 - WARNING | IMPORTANCE: High | This is a warning message (NGRFunctions.py: Line Number 103)
2023-12-06 14:34:10,548 - ERROR | IMPORTANCE: Critical | This is an error message (NGRFunctions.py: Line Number 104)
2023-12-06 14:34:10,548 - CRITICAL | IMPORTANCE: Critical | This is a critical message (NGRFunctions.py: Line Number 105)
2023-12-06 14:34:11,834 - DEBUG | IMPORTANCE: Low | This is a debug message (NGRFunctions.py: Line Number 101)
2023-12-06 14:34:11,834 - INFO | IMPORTANCE: Medium | This is an info message (NGRFunctions.py: Line Number 102)
2023-12-06 14:34:11,834 - WARNING | IMPORTANCE: High | This is a warning message (NGRFunctions.py: Line Number 103)
2023-12-06 14:34:11,834 - ERROR | IMPORTANCE: Critical | This is an error message (NGRFunctions.py: Line Number 104)
2023-12-06 14:34:11,834 - CRITICAL | IMPORTANCE: Critical | This is a critical message (NGRFunctions.py: Line Number 105)
2023-12-06 14:37:21,607 - DEBUG | IMPORTANCE: Low | This is a debug message (NGRFunctions.py: Line Number 102)
2023-12-06 14:37:21,608 - INFO | IMPORTANCE: Medium | This is an info message (NGRFunctions.py: Line Number 103)
2023-12-06 14:37:21,608 - WARNING | IMPORTANCE: High | This is a warning message (NGRFunctions.py: Line Number 104)
2023-12-06 14:37:21,608 - ERROR | IMPORTANCE: Critical | This is an error message (NGRFunctions.py: Line Number 105)
2023-12-06 14:37:21,608 - CRITICAL | IMPORTANCE: Critical | This is a critical message (NGRFunctions.py: Line Number 106)
2023-12-06 14:40:09,290 - DEBUG | IMPORTANCE: Low | This is a debug message (NGRFunctions.py: Line Number 101)
2023-12-06 14:40:09,290 - INFO | IMPORTANCE: Medium | This is an info message (NGRFunctions.py: Line Number 102)
2023-12-06 14:40:09,290 - WARNING | IMPORTANCE: High | This is a warning message (NGRFunctions.py: Line Number 103)
2023-12-06 14:40:09,290 - ERROR | IMPORTANCE: Critical | This is an error message (NGRFunctions.py: Line Number 104)
2023-12-06 14:40:09,290 - CRITICAL | IMPORTANCE: Critical | This is a critical message (NGRFunctions.py: Line Number 105)
